SA_fleet	species	age_quarters	selectivity
S-UNA-ALL-4	BET	31	0
S-UNA-ALL-4	BET	32	0
S-UNA-ALL-4	BET	33	0
S-UNA-ALL-4	BET	34	0
S-UNA-ALL-4	BET	35	0
S-UNA-ALL-4	BET	36	0
S-UNA-ALL-4	BET	37	0
S-UNA-ALL-4	BET	38	0
S-UNA-ALL-4	BET	39	0
S-UNA-ALL-4	BET	40	0
Misc-PH-7	BET	1	0.27
Misc-PH-7	BET	2	0.59
Misc-PH-7	BET	3	1
Misc-PH-7	BET	4	0.29
Misc-PH-7	BET	5	0.07
Misc-PH-7	BET	6	0.06
Misc-PH-7	BET	7	0.09
Misc-PH-7	BET	8	0.13
Misc-PH-7	BET	9	0.05
Misc-PH-7	BET	10	0.02
Misc-PH-7	BET	11	0.02
Misc-PH-7	BET	12	0
Misc-PH-7	BET	13	0
Misc-PH-7	BET	14	0
Misc-PH-7	BET	15	0
Misc-PH-7	BET	16	0
Misc-PH-7	BET	17	0
Misc-PH-7	BET	18	0
Misc-PH-7	BET	19	0
Misc-PH-7	BET	20	0
Misc-PH-7	BET	21	0
Misc-PH-7	BET	22	0
Misc-PH-7	BET	23	0
Misc-PH-7	BET	24	0
Misc-PH-7	BET	25	0
Misc-PH-7	BET	26	0
Misc-PH-7	BET	27	0
Misc-PH-7	BET	28	0
Misc-PH-7	BET	29	0
Misc-PH-7	BET	30	0
Misc-PH-7	BET	31	0
Misc-PH-7	BET	32	0
Misc-PH-7	BET	33	0
Misc-PH-7	BET	34	0
Misc-PH-7	BET	35	0
Misc-PH-7	BET	36	0
Misc-PH-7	BET	37	0
Misc-PH-7	BET	38	0
Misc-PH-7	BET	39	0
Misc-PH-7	BET	40	0
HL-ID-PH-7	BET	1	0.02
HL-ID-PH-7	BET	2	0.02
HL-ID-PH-7	BET	3	0.02
HL-ID-PH-7	BET	4	0.04
HL-ID-PH-7	BET	5	0.05
HL-ID-PH-7	BET	6	0.05
HL-ID-PH-7	BET	7	0.05
HL-ID-PH-7	BET	8	0.04
HL-ID-PH-7	BET	9	0.04
HL-ID-PH-7	BET	10	0.04
HL-ID-PH-7	BET	11	0.05
HL-ID-PH-7	BET	12	0.07
HL-ID-PH-7	BET	13	0.1
HL-ID-PH-7	BET	14	0.16
HL-ID-PH-7	BET	15	0.26
HL-ID-PH-7	BET	16	0.39
HL-ID-PH-7	BET	17	0.55
HL-ID-PH-7	BET	18	0.72
HL-ID-PH-7	BET	19	0.88
HL-ID-PH-7	BET	20	0.97
